XX LL 00 01 04 05 08 09 0B 0C 0D 10 11 13 14 15 16 17 1A 1C 1E 1F 
FF 14 00 9C 01 92 6A 3E 00 B1 23 00 44 08 01 25 16 79 80 79 40 02 
FF 14 00 9C 01 92 6A 3E 00 B1 23 00 44 08 01 25 16 79 80 79 40 02 
FF 14 00 9C 01 92 6A 3E 00 B1 23 00 44 08 01 25 16 79 80 79 40 02 
FF 14 00 9C 01 94 6A 3E 00 B1 23 00 44 08 01 27 16 79 80 79 40 02 
FF 14 00 9C 01 92 6A 3E 00 B1 23 00 44 08 01 27 16 7D 80 79 40 02 
FF 14 00 9C 01 90 6A 3E 00 B1 23 00 44 08 01 26 16 7A 80 79 40 02 
FF 14 00 9C 01 91 6A 3E 00 B1 23 00 44 08 01 24 16 7A 80 79 40 02 
FF 14 00 9C 01 92 6A 3E 00 B1 23 00 44 08 01 25 16 7A 80 79 40 02 
FF 14 00 9C 01 94 6A 3E 00 B1 23 00 44 08 01 2A 16 79 80 79 40 02 
FF 14 00 9C 01 94 6A 3E 00 B1 23 00 44 08 01 2A 16 79 80 79 40 02 
FF 14 00 9C 01 95 6A 3F 00 B1 23 00 44 08 01 2A 16 79 80 79 40 02 
FF 14 00 9C 01 95 6A 3F 00 B1 23 00 44 08 01 2A 16 79 80 79 40 02 
FF 14 00 9C 01 93 6A 3F 00 B1 23 00 44 08 01 2A 16 79 80 79 40 02 
FF 14 00 9C 01 94 6A 3F 00 B1 23 00 44 08 01 29 16 79 80 79 40 02 
FF 14 00 9C 01 94 6A 3F 00 B1 23 00 44 08 01 29 16 79 80 79 40 02 
FF 14 00 9C 01 95 6A 3F 00 B1 23 00 44 08 01 2A 16 79 80 79 40 02 
FF 14 00 9C 01 93 6A 3F 00 B1 23 00 44 08 01 2A 16 79 80 79 40 02 
FF 14 00 9C 01 93 6A 3F 00 B1 23 00 44 08 01 2E 16 79 80 79 40 02 
FF 14 00 9C 01 93 6A 3F 00 B1 23 00 44 08 01 29 16 79 80 79 40 02 
FF 14 00 9C 01 93 6A 3F 00 B1 23 00 44 08 01 29 16 79 80 79 40 02 
FF 14 00 9C 01 93 6A 3F 00 B1 23 00 44 08 01 29 16 79 80 79 40 02 
